run_dir,final_file,run_name,cfg_name,loss_name,loss_mode,use_weight,use_norm,tau,epsA,neuron_div,numNeurons,cfg_feature_idx,feature_idx,nfeatures,seed,final_train_loss,mean_abs_gt,mean_abs_pred,mean_abs_err,mean_dphi,std_dphi,mean_abs_dphi,complex_nrse,complex_mae,nrse_re,nrse_im,mag_nrse,mag_mae
MIMOSA_tauEpsAbl_fullLoss_v1/TE14_TAUEPS14__tau_3em02__eps_1em05_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE14_TAUEPS14__tau_3em02__eps_1em05_F16_seed0/TE14_TAUEPS14__tau_3em02__eps_1em05_F16_seed0_final.mat,TE14_TAUEPS14__tau_3em02__eps_1em05_F16_seed0,TAUEPS14__tau_3em02__eps_1em05,relCplx_full,1,1,1,0.03,1e-05,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.048826701939106,0.03003563,0.03007919,6.667677e-05,0.0002957786,0.006322502,0.001322147,0.002422313,6.667677e-05,0.002160475,0.005211023,0.002061569,5.37879e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE01_TAUEPS01__tau_1em03__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE01_TAUEPS01__tau_1em03__eps_1em06_F16_seed0/TE01_TAUEPS01__tau_1em03__eps_1em06_F16_seed0_final.mat,TE01_TAUEPS01__tau_1em03__eps_1em06_F16_seed0,TAUEPS01__tau_1em03__eps_1em06,relCplx_full,1,1,1,0.001,1e-06,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.0423181541264057,0.03003563,0.0299968,6.822139e-05,-0.0009039144,0.004279723,0.001534718,0.002508694,6.822139e-05,0.00219124,0.005723803,0.001864475,4.83344e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE08_TAUEPS08__tau_3em03__eps_1em03_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE08_TAUEPS08__tau_3em03__eps_1em03_F16_seed0/TE08_TAUEPS08__tau_3em03__eps_1em03_F16_seed0_final.mat,TE08_TAUEPS08__tau_3em03__eps_1em03_F16_seed0,TAUEPS08__tau_3em03__eps_1em03,relCplx_full,1,1,1,0.003,0.001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.712658226490021,0.03003563,0.03003716,6.852177e-05,0.001174234,0.006914369,0.001888324,0.002575777,6.852177e-05,0.001788821,0.008219928,0.001720738,4.190406e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE19_TAUEPS19__tau_1em01__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE19_TAUEPS19__tau_1em01__eps_1em04_F16_seed0/TE19_TAUEPS19__tau_1em01__eps_1em04_F16_seed0_final.mat,TE19_TAUEPS19__tau_1em01__eps_1em04_F16_seed0,TAUEPS19__tau_1em01__eps_1em04,relCplx_full,1,1,1,0.1,0.0001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.0280659291893244,0.03003563,0.03003513,7.339057e-05,-0.001906497,0.007551214,0.002399761,0.002634322,7.339057e-05,0.001557616,0.009327869,0.001390709,3.448288e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE20_TAUEPS20__tau_1em01__eps_1em03_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE20_TAUEPS20__tau_1em01__eps_1em03_F16_seed0/TE20_TAUEPS20__tau_1em01__eps_1em03_F16_seed0_final.mat,TE20_TAUEPS20__tau_1em01__eps_1em03_F16_seed0,TAUEPS20__tau_1em01__eps_1em03,relCplx_full,1,1,1,0.1,0.001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.113293029367924,0.03003563,0.03002,7.663337e-05,-0.001093978,0.009004182,0.002104207,0.002785153,7.663337e-05,0.002113665,0.008130988,0.001932899,4.822787e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE07_TAUEPS07__tau_3em03__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE07_TAUEPS07__tau_3em03__eps_1em04_F16_seed0/TE07_TAUEPS07__tau_3em03__eps_1em04_F16_seed0_final.mat,TE07_TAUEPS07__tau_3em03__eps_1em04_F16_seed0,TAUEPS07__tau_3em03__eps_1em04,relCplx_full,1,1,1,0.003,0.0001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.347993910312653,0.03003563,0.03003724,7.737934e-05,-0.001962973,0.004822628,0.002447834,0.002862006,7.737934e-05,0.001564663,0.01049145,0.001454011,3.47398e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE13_TAUEPS13__tau_3em02__eps_1em06_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE13_TAUEPS13__tau_3em02__eps_1em06_F16_seed0/TE13_TAUEPS13__tau_3em02__eps_1em06_F16_seed0_final.mat,TE13_TAUEPS13__tau_3em02__eps_1em06_F16_seed0,TAUEPS13__tau_3em02__eps_1em06,relCplx_full,1,1,1,0.03,1e-06,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.0154148759320378,0.03003563,0.03010986,9.748383e-05,0.0007640089,0.009046898,0.001760682,0.003365718,9.748383e-05,0.003178359,0.005751432,0.00295996,8.281929e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE15_TAUEPS15__tau_3em02__eps_1em04_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE15_TAUEPS15__tau_3em02__eps_1em04_F16_seed0/TE15_TAUEPS15__tau_3em02__eps_1em04_F16_seed0_final.mat,TE15_TAUEPS15__tau_3em02__eps_1em04_F16_seed0,TAUEPS15__tau_3em02__eps_1em04,relCplx_full,1,1,1,0.03,0.0001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.156953781843185,0.03003563,0.0299694,0.0001004144,0.001867991,0.007699409,0.002547401,0.00343317,0.0001004144,0.002533864,0.01034327,0.002620026,7.119621e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE12_TAUEPS12__tau_1em02__eps_1em03_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE12_TAUEPS12__tau_1em02__eps_1em03_F16_seed0/TE12_TAUEPS12__tau_1em02__eps_1em03_F16_seed0_final.mat,TE12_TAUEPS12__tau_1em02__eps_1em03_F16_seed0,TAUEPS12__tau_1em02__eps_1em03,relCplx_full,1,1,1,0.01,0.001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.677218496799469,0.03003563,0.03003847,9.842772e-05,0.0004646887,0.009211805,0.002459208,0.003665356,9.842772e-05,0.002830308,0.01047189,0.002723078,6.644063e-05
MIMOSA_tauEpsAbl_fullLoss_v1/TE16_TAUEPS16__tau_3em02__eps_1em03_F16_seed0,MIMOSA_tauEpsAbl_fullLoss_v1/TE16_TAUEPS16__tau_3em02__eps_1em03_F16_seed0/TE16_TAUEPS16__tau_3em02__eps_1em03_F16_seed0_final.mat,TE16_TAUEPS16__tau_3em02__eps_1em03_F16_seed0,TAUEPS16__tau_3em02__eps_1em03,relCplx_full,1,1,1,0.03,0.001,NaN,,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.47545850276947,0.03003563,0.02996227,0.0001496414,-0.0008761945,0.01574333,0.003314159,0.00545784,0.0001496414,0.00473654,0.01265837,0.004502777,0.0001150201
