run_dir,final_file,run_name,cfg_name,loss_abbr,residual_name,use_weight,use_norm,tau,epsA,seed,nepoch,initial_loss,final_loss,best_loss,initial_loss_norm,final_loss_norm,best_loss_norm,TV_norm,Curv_norm,IncFrac_norm,Epoch95,complex_nrse,complex_mae,mean_abs_dphi,mag_mae,loss_rank
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed1/L03_LOSS03__RCL_F16_seed1_final.mat,L03_LOSS03__RCL_F16_seed1,LOSS03__RCL,RCL,Charb,0,1,0.01,0.0001,1,1000,3.38675451278687,0.353680670261383,0.352530926465988,1,0.10443055997299,0.104091077500595,0.00106729889579375,0.00119126277139572,0.508508508508508,2,0.003240375,9.213694e-05,0.00228366,6.543387e-05,3
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed2/L03_LOSS03__RCL_F16_seed2_final.mat,L03_LOSS03__RCL_F16_seed2,LOSS03__RCL,RCL,Charb,0,1,0.01,0.0001,2,1000,7.80820798873901,0.353322833776474,0.352056950330734,1,0.0452501821526829,0.0450880600053777,0.00102710611916215,0.00107978399639734,0.48948948948949,2,0.002361477,6.601854e-05,0.00179899,4.30223e-05,3
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed3/L03_LOSS03__RCL_F16_seed3_final.mat,L03_LOSS03__RCL_F16_seed3,LOSS03__RCL,RCL,Charb,0,1,0.01,0.0001,3,1000,5.48869323730469,0.354288011789322,0.352420091629028,1,0.0645486997490319,0.0642083782773201,0.00104254231787305,0.00112197407202787,0.495495495495495,2,0.001681564,4.565856e-05,0.001114369,3.116686e-05,3
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed4/L03_LOSS03__RCL_F16_seed4_final.mat,L03_LOSS03__RCL_F16_seed4,LOSS03__RCL,RCL,Charb,0,1,0.01,0.0001,4,1000,7.23719787597656,0.354623734951019,0.352367430925369,1,0.0490001435677434,0.0486883787017944,0.00103655036080025,0.00110113302568088,0.500500500500501,2,0.002555382,7.370143e-05,0.001437024,6.062436e-05,3
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed0/L04_LOSS04__CL_F16_seed0_final.mat,L04_LOSS04__CL_F16_seed0,LOSS04__CL,CL,Charb,0,0,0.01,0.0001,0,1000,0.140678957104683,0.0100003844127059,0.0100002568215132,1,0.0710865691537957,0.0710856621866462,0.000953963061597157,0.00097374888945048,0.486486486486487,2,0.002406568,6.639474e-05,0.001461203,5.063524e-05,4
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed1/L04_LOSS04__CL_F16_seed1_final.mat,L04_LOSS04__CL_F16_seed1,LOSS04__CL,CL,Charb,0,0,0.01,0.0001,1,1000,0.0973898768424988,0.010000548325479,0.0100005092099309,1,0.102685706663868,0.10268530502512,0.00109547198061225,0.00120387456443502,0.487487487487487,2,0.003595351,9.844044e-05,0.00201248,7.791826e-05,4
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed2/L04_LOSS04__CL_F16_seed2_final.mat,L04_LOSS04__CL_F16_seed2,LOSS04__CL,CL,Charb,0,0,0.01,0.0001,2,1000,0.221638113260269,0.0100003033876419,0.0100002447143197,1,0.0451199626297963,0.0451196979040173,0.000964576152134787,0.000968678727495441,0.501501501501502,2,0.002108922,5.763587e-05,0.001346692,4.198542e-05,4
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed3/L04_LOSS04__CL_F16_seed3_final.mat,L04_LOSS04__CL_F16_seed3,LOSS04__CL,CL,Charb,0,0,0.01,0.0001,3,1000,0.153194785118103,0.0100003089755774,0.0100002512335777,1,0.0652783903046555,0.0652780133858225,0.000950477264180439,0.000962412356578605,0.498498498498498,2,0.001979897,5.379306e-05,0.001320419,3.761593e-05,4
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed4/L04_LOSS04__CL_F16_seed4_final.mat,L04_LOSS04__CL_F16_seed4,LOSS04__CL,CL,Charb,0,0,0.01,0.0001,4,1000,0.198182851076126,0.0100002959370613,0.0100002102553844,1,0.050459945866961,0.0504595135304778,0.000964246999721449,0.000974721097252248,0.485485485485485,2,0.002392272,6.705571e-05,0.002037957,3.829282e-05,4
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed0/L05_LOSS05__WRL1_F16_seed0_final.mat,L05_LOSS05__WRL1_F16_seed0,LOSS05__WRL1,WRL1,L1,1,1,0.01,0.0001,0,1000,5.25235843658447,0.00227875355631113,0.00215166271664202,1,0.000433853398206572,0.000409656489103058,0.00116381811457714,0.00126209008757352,0.466466466466466,2,0.002203621,5.913515e-05,0.001461481,3.837528e-05,5
