id,name,loss_abbr,residual_name,residual_mode,use_weight,use_norm,epsA,tau,nfeatures,feature_idx
1,LOSS01__WRCL,WRCL,Charb,1,1,1,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
2,LOSS02__WCL,WCL,Charb,1,1,0,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
3,LOSS03__RCL,RCL,Charb,1,0,1,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
4,LOSS04__CL,CL,Charb,1,0,0,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
5,LOSS05__WRL1,WRL1,L1,2,1,1,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
6,LOSS06__WL1,WL1,L1,2,1,0,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
7,LOSS07__RL1,RL1,L1,2,0,1,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
8,LOSS08__L1,L1,L1,2,0,0,0.0001,0.01,16,"[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]"
