loss_abbr,residual_name,use_weight,use_norm,tau,epsA,n_runs,initial_loss_mean,initial_loss_std,final_loss_mean,final_loss_std,best_loss_mean,best_loss_std,final_loss_norm_mean,final_loss_norm_std,best_loss_norm_mean,best_loss_norm_std,TV_norm_mean,TV_norm_std,Curv_norm_mean,Curv_norm_std,IncFrac_norm_mean,IncFrac_norm_std,Epoch95_mean,Epoch95_std,complex_nrse_mean,complex_nrse_std,complex_mae_mean,complex_mae_std,mean_abs_dphi_mean,mean_abs_dphi_std,mag_mae_mean,mag_mae_std,complex_nrse_mean_std,TV_norm_mean_std,Curv_norm_mean_std,IncFrac_norm_mean_std,Epoch95_mean_std
WRCL,Charb,1,1,0.01,0.0001,5,4.87157173156738,1.50281796330914,0.301204311847687,0.000307975469636378,0.300085109472275,0.000171560233464149,0.0675335218774242,0.0238804407232174,0.0672892562762426,0.0238313086654714,0.00101947647747786,8.52443735700244e-06,0.00108299768428616,3.19923095882545e-05,0.4994994994995,0.00861093620324587,2,0,0.00259287171065807,0.0015323489058059,7.33331056835596e-05,4.81659138495048e-05,0.00165806175209582,0.00088032759450795,5.46223549463321e-05,4.15097392259506e-05,0.00259287 ¡À 0.00153235,0.00101948 ¡À 8.52444e-06,0.001083 ¡À 3.19923e-05,0.499499 ¡À 0.00861094,2 ¡À 0
WCL,Charb,1,0,0.01,0.0001,5,0.142345957458019,0.0424419381833326,0.00882077887654304,2.82897931148414e-06,0.00881451573222876,1.52330304396433e-06,0.0671625507026428,0.0225044677454142,0.0671144435248604,0.0224840423435453,0.000967957872812938,1.21613424799655e-05,0.000992921811916069,5.84768957483777e-06,0.487287287287287,0.00396628884007187,2,0,0.00224805092439055,0.000230768625952709,6.17126017459668e-05,6.65803583470524e-06,0.00168516889680177,0.000345112493372802,3.9450539770769e-05,2.29786677463426e-06,0.00224805 ¡À 0.000230769,0.000967958 ¡À 1.21613e-05,0.000992922 ¡À 5.84769e-06,0.487287 ¡À 0.00396629,2 ¡À 0
RCL,Charb,0,1,0.01,0.0001,5,5.77596101760864,1.78350609781694,0.353997361660004,0.000509315062338729,0.352240693569183,0.000290044042088935,0.0669260147838503,0.0235766941626617,0.0666047941974956,0.0235254975549487,0.00104787755458519,1.79573253866857e-05,0.00113270065162617,4.65950614531923e-05,0.4998998998999,0.00764308675428271,2,0,0.0026262452127412,0.000668674591017958,7.41901239962317e-05,1.98338278163983e-05,0.00196802860591561,0.000817269616247389,4.73501728265546e-05,1.50125344110303e-05,0.00262625 ¡À 0.000668675,0.00104788 ¡À 1.79573e-05,0.0011327 ¡À 4.65951e-05,0.4999 ¡À 0.00764309,2 ¡À 0
CL,Charb,0,0,0.01,0.0001,5,0.162216916680336,0.0489189500467318,0.0100003682076931,1.06815431984432e-07,0.0100002944469452,1.21416392251509e-07,0.0669261149238152,0.0226131365499925,0.0669256384064168,0.0226130854394397,0.000985747091649216,6.16526544173156e-05,0.00101668712704236,0.000104755111757641,0.491891891891892,0.00751084343635798,2,0,0.00249660229310393,0.00064099930415327,6.86639628838748e-05,1.75864788376937e-05,0.00163575003389269,0.000359565968738438,4.92895364004653e-05,1.68223474944756e-05,0.0024966 ¡À 0.000640999,0.000985747 ¡À 6.16527e-05,0.00101669 ¡À 0.000104755,0.491892 ¡À 0.00751084,2 ¡À 0
WRL1,L1,1,1,0.01,0.0001,5,6.40679368972778,1.98442830051308,0.00255439798347652,0.000613701732786147,0.00208648610860109,4.11468020046589e-05,0.000459839329759096,0.000283786124652229,0.000356256222695007,0.00012677322767216,0.00114976249490091,4.85018183018473e-05,0.00124078394474908,7.75226164835084e-05,0.456456456456456,0.0126022805926068,2,0,0.00273067569360137,0.000797837992886079,7.53611362597439e-05,2.52188796930891e-05,0.00157929628621787,0.00036040296966972,5.79344530706294e-05,2.49085636153821e-05,0.00273068 ¡À 0.000797838,0.00114976 ¡À 4.85018e-05,0.00124078 ¡À 7.75226e-05,0.456456 ¡À 0.0126023,2 ¡À 0
WL1,L1,1,0,0.01,0.0001,5,0.18442884683609,0.0538976827937338,7.03604760929011e-05,2.4075037395683e-06,6.51240690785926e-05,4.11254464136519e-06,0.000410577493943297,0.000127633589252404,0.000381452046534837,0.000124883738752443,0.00115552260290312,4.63602988507096e-05,0.00125590357780907,7.57945527018982e-05,0.450650650650651,0.0122269721598418,2,0,0.00254404055885971,0.000316196031735013,6.9947505107848e-05,9.32341494701974e-06,0.00185484827961773,0.000248464216290138,4.66034209239297e-05,1.0732932560994e-05,0.00254404 ¡À 0.000316196,0.00115552 ¡À 4.63603e-05,0.0012559 ¡À 7.57946e-05,0.450651 ¡À 0.012227,2 ¡À 0
RL1,L1,0,1,0.01,0.0001,5,7.6073112487793,2.36978853325276,0.0026220393832773,6.71250591638192e-05,0.00245325067080557,5.09132764894289e-05,0.00037734557733825,0.000133346886678939,0.000350249334533634,0.00011352673893708,0.0011475305618298,5.20777965876415e-05,0.0012454739123332,8.67847943654922e-05,0.456256256256256,0.0126894398120486,2,0,0.00228529721498489,9.33424980769686e-05,6.16194229223765e-05,2.47831216716872e-06,0.00144658559001982,0.000111366686651318,4.32251756137703e-05,3.161741026735e-06,0.0022853 ¡À 9.33425e-05,0.00114753 ¡À 5.20778e-05,0.00124547 ¡À 8.67848e-05,0.456256 ¡À 0.0126894,2 ¡À 0
L1,L1,0,0,0.01,0.0001,5,0.209226301312447,0.0624562385916744,7.84791875048541e-05,2.13107795878791e-06,7.45117882615887e-05,3.6639234573758e-06,0.000408908509749095,0.000145334247769947,0.000389730845991379,0.000144562487305058,0.00114829771221562,4.68108557377943e-05,0.00124407065952953,7.57639654634335e-05,0.446246246246246,0.0122474425779241,2,0,0.00248082205653191,0.000171014662524876,6.80401615682058e-05,4.72342636299072e-06,0.00173910520970821,0.000176356087049502,4.63509604742285e-05,5.01488250103994e-06,0.00248082 ¡À 0.000171015,0.0011483 ¡À 4.68109e-05,0.00124407 ¡À 7.5764e-05,0.446246 ¡À 0.0122474,2 ¡À 0
