loss_abbr,residual_name,use_weight,use_norm,tau,epsA,nfeatures,feature_idx,n_runs,final_train_loss_mean,final_train_loss_std,complex_nrse_mean,complex_nrse_std,complex_mae_mean,complex_mae_std,mean_abs_dphi_mean,mean_abs_dphi_std,mag_mae_mean,mag_mae_std,nrse_re_mean,nrse_re_std,nrse_im_mean,nrse_im_std,mag_nrse_mean,mag_nrse_std,complex_nrse_mean_std,complex_mae_mean_std,mean_abs_dphi_mean_std,mag_mae_mean_std
WRCL,Charb,1,1,0.01,0.0001,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],5,0.301204311847687,0.000307975469636378,0.00259287171065807,0.0015323489058059,7.33331056835596e-05,4.81659138495048e-05,0.00165806175209582,0.00088032759450795,5.46223549463321e-05,4.15097392259506e-05,0.00221723180729896,0.00152319858845187,0.00610810238867998,0.0021828778127625,0.00203378039877862,0.00130680292504441,0.00259287 ¡À 0.00153235,7.33331e-05 ¡À 4.81659e-05,0.00165806 ¡À 0.000880328,5.46224e-05 ¡À 4.15097e-05
WCL,Charb,1,0,0.01,0.0001,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],5,0.00882077887654304,2.82897931148414e-06,0.00224805092439055,0.000230768625952709,6.17126017459668e-05,6.65803583470524e-06,0.00168516889680177,0.000345112493372802,3.9450539770769e-05,2.29786677463426e-06,0.0016601151553914,0.000109887374550494,0.0067104822024703,0.0013836909651642,0.00158412144519389,9.24429906546986e-05,0.00224805 ¡À 0.000230769,6.17126e-05 ¡À 6.65804e-06,0.00168517 ¡À 0.000345112,3.94505e-05 ¡À 2.29787e-06
RCL,Charb,0,1,0.01,0.0001,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],5,0.353997361660004,0.000509315062338729,0.0026262452127412,0.000668674591017958,7.41901239962317e-05,1.98338278163983e-05,0.00196802860591561,0.000817269616247389,4.73501728265546e-05,1.50125344110303e-05,0.00191038218326867,0.000550462750628656,0.00765403006225824,0.00327458756886903,0.00182162956334651,0.000494564191429968,0.00262625 ¡À 0.000668675,7.41901e-05 ¡À 1.98338e-05,0.00196803 ¡À 0.00081727,4.73502e-05 ¡À 1.50125e-05
CL,Charb,0,0,0.01,0.0001,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],5,0.0100003682076931,1.06815431984432e-07,0.00249660229310393,0.00064099930415327,6.86639628838748e-05,1.75864788376937e-05,0.00163575003389269,0.000359565968738438,4.92895364004653e-05,1.68223474944756e-05,0.00203291450161487,0.000670809064503865,0.00647473037242889,0.001356995745418,0.00195144293829799,0.000646589965327751,0.0024966 ¡À 0.000640999,6.8664e-05 ¡À 1.75865e-05,0.00163575 ¡À 0.000359566,4.92895e-05 ¡À 1.68223e-05
WRL1,L1,1,1,0.01,0.0001,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],5,0.00255439798347652,0.000613701732786147,0.00273067569360137,0.000797837992886079,7.53611362597439e-05,2.52188796930891e-05,0.00157929628621787,0.00036040296966972,5.79344530706294e-05,2.49085636153821e-05,0.00231106153223664,0.000900132021685605,0.00654632970690727,0.000685462750645467,0.00223917353432626,0.000810278655694923,0.00273068 ¡À 0.000797838,7.53611e-05 ¡À 2.52189e-05,0.0015793 ¡À 0.000360403,5.79345e-05 ¡À 2.49086e-05
WL1,L1,1,0,0.01,0.0001,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],5,7.03604760929011e-05,2.4075037395683e-06,0.00254404055885971,0.000316196031735013,6.9947505107848e-05,9.32341494701974e-06,0.00185484827961773,0.000248464216290138,4.66034209239297e-05,1.0732932560994e-05,0.00196653068996966,0.000340398511855328,0.0072322940453887,0.000756692359228039,0.00184720519464463,0.00035985388334689,0.00254404 ¡À 0.000316196,6.99475e-05 ¡À 9.32341e-06,0.00185485 ¡À 0.000248464,4.66034e-05 ¡À 1.07329e-05
RL1,L1,0,1,0.01,0.0001,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],5,0.0026220393832773,6.71250591638192e-05,0.00228529721498489,9.33424980769686e-05,6.16194229223765e-05,2.47831216716872e-06,0.00144658559001982,0.000111366686651318,4.32251756137703e-05,3.161741026735e-06,0.00179056988563389,9.32386544277999e-05,0.00639755791053176,0.000532353260966751,0.00174620081670582,0.000122583315619582,0.0022853 ¡À 9.33425e-05,6.16194e-05 ¡À 2.47831e-06,0.00144659 ¡À 0.000111367,4.32252e-05 ¡À 3.16174e-06
L1,L1,0,0,0.01,0.0001,16,[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],5,7.84791875048541e-05,2.13107795878791e-06,0.00248082205653191,0.000171014662524876,6.80401615682058e-05,4.72342636299072e-06,0.00173910520970821,0.000176356087049502,4.63509604742285e-05,5.01488250103994e-06,0.00193390138447285,0.000244662401700893,0.00695698922500014,0.000713848271497344,0.00184395753312856,0.000174350596361321,0.00248082 ¡À 0.000171015,6.80402e-05 ¡À 4.72343e-06,0.00173911 ¡À 0.000176356,4.6351e-05 ¡À 5.01488e-06
