run_dir,final_file,run_name,cfg_name,loss_abbr,residual_name,residual_mode,use_weight,use_norm,tau,epsA,neuron_div,numNeurons,cfg_feature_idx,feature_idx,nfeatures,seed,final_train_loss,mean_abs_gt,mean_abs_pred,mean_abs_err,mean_dphi,std_dphi,mean_abs_dphi,complex_nrse,complex_mae,nrse_re,nrse_im,mag_nrse,mag_mae,loss_rank
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed0/L03_LOSS03__RCL_F16_seed0_final.mat,L03_LOSS03__RCL_F16_seed0,LOSS03__RCL,RCL,Charb,1,0,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.35407155752182,0.03003563,0.03003627,9.343515e-05,-0.002496071,0.008128855,0.0032061,0.003292429,9.343515e-05,0.001602729,0.01255285,0.001502742,3.650348e-05,3
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed1/L03_LOSS03__RCL_F16_seed1_final.mat,L03_LOSS03__RCL_F16_seed1,LOSS03__RCL,RCL,Charb,1,0,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,1,0.353680670261383,0.03004601,0.03010082,9.213694e-05,0.001589389,0.007680829,0.00228366,0.003240375,9.213694e-05,0.002593975,0.008832825,0.002473565,6.543387e-05,3
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed2/L03_LOSS03__RCL_F16_seed2_final.mat,L03_LOSS03__RCL_F16_seed2,LOSS03__RCL,RCL,Charb,1,0,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,2,0.353322833776474,0.03004679,0.03007976,6.601854e-05,-0.001234968,0.005929726,0.00179899,0.002361477,6.601854e-05,0.001661215,0.007486147,0.001702182,4.30223e-05,3
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed3/L03_LOSS03__RCL_F16_seed3_final.mat,L03_LOSS03__RCL_F16_seed3,LOSS03__RCL,RCL,Charb,1,0,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,3,0.354288011789322,0.03008805,0.03009044,4.565856e-05,9.758946e-05,0.003902773,0.001114369,0.001681564,4.565856e-05,0.001308495,0.004779757,0.001259535,3.116686e-05,3
MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L03_LOSS03__RCL_F16_seed4/L03_LOSS03__RCL_F16_seed4_final.mat,L03_LOSS03__RCL_F16_seed4,LOSS03__RCL,RCL,Charb,1,0,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,4,0.354623734951019,0.030074,0.03002409,7.370143e-05,-0.000359256,0.008309132,0.001437024,0.002555382,7.370143e-05,0.002385497,0.004618567,0.002170124,6.062436e-05,3
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed0/L04_LOSS04__CL_F16_seed0_final.mat,L04_LOSS04__CL_F16_seed0,LOSS04__CL,CL,Charb,1,0,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.0100003844127059,0.03003563,0.03007473,6.639474e-05,4.321232e-05,0.008385245,0.001461203,0.002406568,6.639474e-05,0.00207527,0.005668549,0.001974341,5.063524e-05,4
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed1/L04_LOSS04__CL_F16_seed1_final.mat,L04_LOSS04__CL_F16_seed1,LOSS04__CL,CL,Charb,1,0,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,1,0.010000548325479,0.03004601,0.03010378,9.844044e-05,-0.0002228227,0.008066989,0.00201248,0.003595351,9.844044e-05,0.003176674,0.007980443,0.003061032,7.791826e-05,4
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed2/L04_LOSS04__CL_F16_seed2_final.mat,L04_LOSS04__CL_F16_seed2,LOSS04__CL,CL,Charb,1,0,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,2,0.0100003033876419,0.03004679,0.03002203,5.763587e-05,-0.0001863845,0.007439256,0.001346692,0.002108922,5.763587e-05,0.001755798,0.005375575,0.001665469,4.198542e-05,4
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed3/L04_LOSS04__CL_F16_seed3_final.mat,L04_LOSS04__CL_F16_seed3,LOSS04__CL,CL,Charb,1,0,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,3,0.0100003089755774,0.03008805,0.03007579,5.379306e-05,0.0002671865,0.006671222,0.001320419,0.001979897,5.379306e-05,0.001582094,0.005417431,0.001511951,3.761593e-05,4
MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L04_LOSS04__CL_F16_seed4/L04_LOSS04__CL_F16_seed4_final.mat,L04_LOSS04__CL_F16_seed4,LOSS04__CL,CL,Charb,1,0,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,4,0.0100002959370613,0.030074,0.03007873,6.705571e-05,0.001358439,0.009010607,0.002037957,0.002392272,6.705571e-05,0.001574736,0.007931654,0.001544421,3.829282e-05,4
